|id |transaction_time   |merchant_name             |description                               |type|amount|status       |transaction_id                  |merchant_order_id                          |payment_method|source|created_at         |result_amount|
|257|2025-01-05 19:52:02|张亮麻辣烫·麻辣拌（麻辣香锅·将台路店）      |张亮麻辣烫·麻辣拌（麻辣香锅·将台路店）                      |支出  |22.92 |美团月付         |25010511100301670009110447726753|                                           |美团月付          |美团    |2025-03-19 11:56:34|-22.92       |
|256|2025-01-05 19:53:28|陈记面馆虾爆鳝（万红西街店）            |陈记面馆虾爆鳝（万红西街店）                            |支出  |54    |美团月付         |25010511100301670009110570351753|                                           |美团月付          |美团    |2025-03-19 11:56:34|-54          |
|204|2025-01-06 02:10:22|招商财富宝A                    |余额宝-2025.01.05-收益发放                       |收入  |2.12  |交易成功         |20250106364869139511            |                                           |              |支付宝   |2025-03-19 11:56:34|2.12         |
|203|2025-01-06 12:13:55|北京一卡通                     |北京一卡通充值                                   |支出  |4     |交易成功         |2025010623001453511447898089    |D120250106121355661542                     |              |支付宝   |2025-03-19 11:56:34|-4           |
|202|2025-01-06 12:32:25|昆仑人的私家小厨（骏豪·中央公园广场店）      |Meituan-昆仑人的私家小厨（骏豪·中央公园广场店）              |支出  |15    |交易成功         |2025010622001453511447710940    |8020180330024764010461368605549219214508004|              |支付宝   |2025-03-19 11:56:34|-15          |
|201|2025-01-06 18:33:46|中国移动                      |为13774738548话费充值                          |支出  |50    |交易成功         |2025010622001453511445881076    |2025010600003100005136006867               |              |支付宝   |2025-03-19 11:56:34|-50          |
|255|2025-01-06 19:01:40|庭珍·牛肉粉（望京Soho店）           |庭珍·牛肉粉（望京Soho店）                           |支出  |35.9  |美团月付         |25010611100301670009234135036753|                                           |美团月付          |美团    |2025-03-19 11:56:34|-35.9        |
|200|2025-01-06 22:03:36|北京一卡通                     |北京一卡通充值                                   |支出  |4     |交易成功         |2025010623001453511447053927    |D120250106220335825789                     |              |支付宝   |2025-03-19 11:56:34|-4           |
|199|2025-01-07 02:31:53|招商财富宝A                    |余额宝-2025.01.06-收益发放                       |收入  |3.32  |交易成功         |20250107373565665511            |                                           |              |支付宝   |2025-03-19 11:56:34|3.32         |
|198|2025-01-07 12:21:33|北京一卡通                     |北京一卡通充值                                   |支出  |4     |交易成功         |2025010723001453511448953259    |D120250107122133980092                     |              |支付宝   |2025-03-19 11:56:34|-4           |
|197|2025-01-07 12:30:01|昆仑人的私家小厨（骏豪·中央公园广场店）      |Meituan-昆仑人的私家小厨（骏豪·中央公园广场店）              |支出  |15    |交易成功         |2025010722001453511451343915    |1220180330024764010461368605550842571908004|              |支付宝   |2025-03-19 11:56:34|-15          |
|254|2025-01-07 18:53:25|CHAGEE霸王茶姬【经典茶韵】伯牙绝弦      |CHAGEE霸王茶姬【经典茶韵】伯牙绝弦                      |收入  |15.8  |美团月付         |2501070189562716753             |                                           |美团月付          |美团    |2025-03-19 11:56:34|15.8         |
|253|2025-01-07 18:54:15|美团商家代金券-289374530275034832|美团商家代金券-289374530275034832                |支出  |59    |微信支付         |25010711100301670009364523269753|                                           |微信支付          |美团    |2025-03-19 11:56:34|-59          |
|252|2025-01-07 18:55:57|匠熙小馆（望京店）                 |匠熙小馆（望京店）                                 |支出  |32    |美团月付         |25010711100301670009366071112753|                                           |美团月付          |美团    |2025-03-19 11:56:34|-32          |
|196|2025-01-07 22:32:55|北京一卡通                     |北京一卡通充值                                   |支出  |4     |交易成功         |2025010723001453511452220832    |D120250107223255159597                     |              |支付宝   |2025-03-19 11:56:34|-4           |
|195|2025-01-08 02:11:18|招商财富宝A                    |余额宝-2025.01.07-收益发放                       |收入  |2.3   |交易成功         |20250108374976471511            |                                           |              |支付宝   |2025-03-19 11:56:34|2.3          |
|194|2025-01-08 03:14:01|App Store & Apple Music   |App Store & Apple Music；01.08购买           |支出  |20    |交易成功         |2025010822001453511449727015    |MT1BG972YFa0                               |              |支付宝   |2025-03-19 11:56:34|-20          |
|193|2025-01-08 12:38:04|北京一卡通                     |北京一卡通充值                                   |支出  |4     |交易成功         |2025010823001453511453311314    |D120250108123804313898                     |              |支付宝   |2025-03-19 11:56:34|-4           |
|192|2025-01-08 12:38:46|昆仑人的私家小厨（骏豪·中央公园广场店）      |Meituan-昆仑人的私家小厨（骏豪·中央公园广场店）              |支出  |15    |交易成功         |2025010822001453511453370353    |9720180330024764010461368605552665847108004|              |支付宝   |2025-03-19 11:56:34|-15          |
|251|2025-01-08 19:09:47|小吊梨汤·北京烤鸭（凯德望京店）          |小吊梨汤·北京烤鸭（凯德望京店）                          |支出  |37.7  |美团月付         |25010811100301670009513240648753|                                           |美团月付          |美团    |2025-03-19 11:56:34|-37.7        |
|191|2025-01-08 22:02:10|北京一卡通                     |北京一卡通充值                                   |支出  |4     |交易成功         |2025010823001453511455866187    |D120250108220209478502                     |              |支付宝   |2025-03-19 11:56:34|-4           |
|190|2025-01-09 02:19:52|招商财富宝A                    |余额宝-2025.01.08-收益发放                       |收入  |2.4   |交易成功         |20250109380750268511            |                                           |              |支付宝   |2025-03-19 11:56:34|2.4          |
|250|2025-01-09 10:56:39|吴记厨房·福鼎肉片·肉酱拌面            |吴记厨房·福鼎肉片·肉酱拌面                            |支出  |18.98 |美团月付         |25010911100301670009577382283753|                                           |美团月付          |美团    |2025-03-19 11:56:34|-18.98       |
|189|2025-01-09 11:16:21|北京一卡通                     |北京一卡通充值                                   |支出  |4     |交易成功         |2025010923001453511457855950    |D120250109111621626566                     |              |支付宝   |2025-03-19 11:56:34|-4           |
|188|2025-01-09 12:21:09|昆仑人的私家小厨（骏豪·中央公园广场店）      |Meituan-昆仑人的私家小厨（骏豪·中央公园广场店）              |支出  |15    |交易成功         |2025010922001453511456824416    |9420180330024764010461368605554351117208004|              |支付宝   |2025-03-19 11:56:34|-15          |
|249|2025-01-09 19:49:22|曹氏鸭脖（望京店）                 |曹氏鸭脖（望京店）                                 |支出  |25.3  |美团月付         |25010911100301670009664226889753|                                           |美团月付          |美团    |2025-03-19 11:56:34|-25.3        |
|187|2025-01-09 22:44:31|北京一卡通                     |北京一卡通充值                                   |支出  |4     |交易成功         |2025010923001453511456945316    |D120250109224431819199                     |              |支付宝   |2025-03-19 11:56:34|-4           |
|186|2025-01-10 02:03:38|招商财富宝A                    |余额宝-2025.01.09-收益发放                       |收入  |2.75  |交易成功         |20250110386113317511            |                                           |              |支付宝   |2025-03-19 11:56:34|2.75         |
|185|2025-01-10 08:11:11|铁路12306                   |火车票                                       |支出  |325.5 |交易成功         |2025011022001453511459012177    |M20250110201394858                         |              |支付宝   |2025-03-19 11:56:34|-325.5       |
|184|2025-01-10 11:55:25|北京一卡通                     |北京一卡通充值                                   |支出  |4     |交易成功         |2025011023001453511402090546    |D120250110115525961965                     |              |支付宝   |2025-03-19 11:56:34|-4           |
|183|2025-01-10 12:27:44|昆仑人的私家小厨（骏豪·中央公园广场店）      |Meituan-昆仑人的私家小厨（骏豪·中央公园广场店）              |支出  |15    |交易成功         |2025011022001453511459892938    |6820180330024764010461368605556172511708004|              |支付宝   |2025-03-19 11:56:34|-15          |
|182|2025-01-10 12:34:03|铁路12306                   |火车票                                       |支出  |887   |交易成功         |2025011022001453511401733682    |M2025011056999222                          |              |支付宝   |2025-03-19 11:56:34|-887         |
|181|2025-01-10 22:10:39|北京一卡通                     |北京一卡通充值                                   |支出  |4     |交易成功         |2025011023001453511402852115    |D120250110221039154531                     |              |支付宝   |2025-03-19 11:56:34|-4           |
|180|2025-01-11 02:28:26|招商财富宝A                    |余额宝-2025.01.10-收益发放                       |收入  |2.59  |交易成功         |20250111393880004511            |                                           |              |支付宝   |2025-03-19 11:56:34|2.59         |
|248|2025-01-11 13:22:08|神会员省钱包-289428810275034832 |神会员省钱包-289428810275034832                 |支出  |9.9   |微信支付         |25011111100301670009888387071753|                                           |微信支付          |美团    |2025-03-19 11:56:34|-9.9         |
|247|2025-01-11 13:24:09|云饵·菌汤专门店（望京店）             |云饵·菌汤专门店（望京店）                             |支出  |30    |美团月付         |25011111100301670009891212384753|                                           |美团月付          |美团    |2025-03-19 11:56:34|-30          |
|246|2025-01-11 13:27:39|吴记厨房·福鼎肉片·肉酱拌面            |吴记厨房·福鼎肉片·肉酱拌面                            |支出  |24.7  |美团月付         |25011111100301670009888248328753|                                           |美团月付          |美团    |2025-03-19 11:56:34|-24.7        |
|245|2025-01-11 18:47:15|吴记厨房·福鼎肉片·肉酱拌面            |吴记厨房·福鼎肉片·肉酱拌面                            |支出  |24.7  |微信支付         |25011111100301670009945762101753|                                           |微信支付          |美团    |2025-03-19 11:56:34|-24.7        |
|244|2025-01-11 18:58:26|吴记厨房·福鼎肉片·肉酱拌面            |吴记厨房·福鼎肉片·肉酱拌面                            |支出  |24.7  |美团月付         |25011111100301670009946082760753|                                           |美团月付          |美团    |2025-03-19 11:56:34|-24.7        |
|179|2025-01-12 02:11:46|招商财富宝A                    |余额宝-2025.01.11-收益发放                       |收入  |2.12  |交易成功         |20250112303332027511            |                                           |              |支付宝   |2025-03-19 11:56:34|2.12         |
|178|2025-01-12 05:42:48|App Store & Apple Music   |App Store & Apple Music；01.12购买           |支出  |1     |交易成功         |2025011222001453511407847872    |MT8XNHJWFNa0                               |              |支付宝   |2025-03-19 11:56:34|-1           |
|177|2025-01-12 09:42:56|App Store & Apple Music   |App Store & Apple Music；01.12购买           |支出  |1     |交易成功         |2025011222001453511405924768    |MT8XNHJWK6a0                               |              |支付宝   |2025-03-19 11:56:34|-1           |
|176|2025-01-13 02:15:45|招商财富宝A                    |余额宝-2025.01.12-收益发放                       |收入  |2.12  |交易成功         |20250113304905930511            |                                           |              |支付宝   |2025-03-19 11:56:34|2.12         |
|175|2025-01-13 12:00:24|北京一卡通                     |北京一卡通充值                                   |支出  |4     |交易成功         |2025011323001453511409067272    |D120250113120024742377                     |              |支付宝   |2025-03-19 11:56:34|-4           |
|174|2025-01-13 12:14:59|昆仑人的私家小厨（骏豪·中央公园广场店）      |Meituan-昆仑人的私家小厨（骏豪·中央公园广场店）              |支出  |15    |交易成功         |2025011322001453511409800617    |4520180330024764010461368605562408326108004|              |支付宝   |2025-03-19 11:56:34|-15          |
|243|2025-01-13 13:46:45|瑞幸咖啡                      |瑞幸咖啡(北京悦悟科技中心店)                           |支出  |12.91 |美团月付         |25011311100301670000181265953753|                                           |美团月付          |美团    |2025-03-19 11:56:34|-12.91       |
|242|2025-01-13 18:52:46|匠熙小馆（望京店）                 |匠熙小馆（望京店）                                 |支出  |24    |美团月付         |25011311100301670000229033884753|                                           |美团月付          |美团    |2025-03-19 11:56:34|-24          |
|241|2025-01-13 19:12:37|暹罗泰（望京店）                  |暹罗泰（望京店）                                  |支出  |60    |美团月付         |25011311100301670000222926301753|                                           |美团月付          |美团    |2025-03-19 11:56:34|-60          |
|173|2025-01-13 22:00:26|北京一卡通                     |北京一卡通充值                                   |支出  |4     |交易成功         |2025011323001453511412850067    |D120250113220026915791                     |              |支付宝   |2025-03-19 11:56:34|-4           |
|172|2025-01-14 02:31:16|招商财富宝A                    |余额宝-2025.01.13-收益发放                       |收入  |3.12  |交易成功         |20250114313764978511            |                                           |              |支付宝   |2025-03-19 11:56:34|3.12         |
|240|2025-01-14 11:11:10|肯德基宅急送（酒仙桥东路店）            |肯德基宅急送（酒仙桥东路店）                            |支出  |42.4  |美团月付         |25011411100301670000289218830753|                                           |美团月付          |美团    |2025-03-19 11:56:34|-42.4        |
|171|2025-01-14 12:20:25|北京一卡通                     |北京一卡通充值                                   |支出  |4     |交易成功         |2025011423001453511415520831    |D120250114122025071400                     |              |支付宝   |2025-03-19 11:56:34|-4           |
|170|2025-01-14 12:26:16|昆仑人的私家小厨（骏豪·中央公园广场店）      |Meituan-昆仑人的私家小厨（骏豪·中央公园广场店）              |支出  |15    |交易成功         |2025011422001453511414675545    |7720180330024764010461368605564195440908004|              |支付宝   |2025-03-19 11:56:34|-15          |
|169|2025-01-14 18:56:55|黄佳妮                       |亲情卡                                       |支出  |51.7  |交易成功         |2025011404200131001091671104    |2025011422001196311436834300               |              |支付宝   |2025-03-19 11:56:34|-51.7        |
|239|2025-01-14 19:06:50|肆喜桂林米粉·螺蛳粉（798艺术中心店）      |肆喜桂林米粉·螺蛳粉（798艺术中心店）                      |支出  |36.7  |美团月付         |25011411100301670000360740096753|                                           |美团月付          |美团    |2025-03-19 11:56:34|-36.7        |
|238|2025-01-14 19:07:06|肆喜桂林米粉·螺蛳粉（798艺术中心店）      |肆喜桂林米粉·螺蛳粉（798艺术中心店）                      |收入  |36.7  |美团月付         |2501140157057156753             |                                           |美团月付          |美团    |2025-03-19 11:56:34|36.7         |
|237|2025-01-14 19:15:29|肆喜桂林米粉·螺蛳粉（798艺术中心店）      |肆喜桂林米粉·螺蛳粉（798艺术中心店）                      |支出  |28.7  |美团月付         |25011411100301670000358542273753|                                           |美团月付          |美团    |2025-03-19 11:56:34|-28.7        |
|168|2025-01-14 21:58:29|北京一卡通                     |北京一卡通充值                                   |支出  |4     |交易成功         |2025011423001453511416549288    |D120250114215829231113                     |              |支付宝   |2025-03-19 11:56:34|-4           |
|167|2025-01-15 02:32:21|招商财富宝A                    |余额宝-2025.01.14-收益发放                       |收入  |2.57  |交易成功         |20250115315599104511            |                                           |              |支付宝   |2025-03-19 11:56:34|2.57         |
|166|2025-01-15 11:55:34|北京一卡通                     |北京一卡通充值                                   |支出  |4     |交易成功         |2025011523001453511420212901    |D120250115115534378899                     |              |支付宝   |2025-03-19 11:56:34|-4           |
|165|2025-01-15 12:25:55|昆仑人的私家小厨（骏豪·中央公园广场店）      |Meituan-昆仑人的私家小厨（骏豪·中央公园广场店）              |支出  |15    |交易成功         |2025011522001453511419638707    |9720180330024764010461368605566063258008004|              |支付宝   |2025-03-19 11:56:34|-15          |
|164|2025-01-15 16:29:52|哈啰出行                      |哈啰单车骑行卡自动续费                               |支出  |16.8  |交易成功         |2025011523001453511419852848    |CPR250115162952210185434485R               |              |支付宝   |2025-03-19 11:56:34|-16.8        |
|163|2025-01-15 23:01:29|北京一卡通                     |北京一卡通充值                                   |支出  |4     |交易成功         |2025011523001453511420097610    |D120250115230129563949                     |              |支付宝   |2025-03-19 11:56:34|-4           |
|162|2025-01-16 02:19:13|招商财富宝A                    |余额宝-2025.01.15-收益发放                       |收入  |2.48  |交易成功         |20250116320707984511            |                                           |              |支付宝   |2025-03-19 11:56:34|2.48         |
|236|2025-01-16 11:38:13|DAI CO. 㞭客烘焙（751D·PARK店）  |DAI CO. 㞭客烘焙（751D·PARK店）                  |支出  |20.5  |美团月付         |25011611100301670000567046632753|                                           |美团月付          |美团    |2025-03-19 11:56:34|-20.5        |
|161|2025-01-16 11:58:00|北京一卡通                     |北京一卡通充值                                   |支出  |4     |交易成功         |2025011623001453511422498265    |D120250116115800695756                     |              |支付宝   |2025-03-19 11:56:34|-4           |
|160|2025-01-16 12:15:00|昆仑人的私家小厨（骏豪·中央公园广场店）      |Meituan-昆仑人的私家小厨（骏豪·中央公园广场店）              |支出  |15    |交易成功         |2025011622001453511424602903    |4120180330024764010461368605567963480308004|              |支付宝   |2025-03-19 11:56:34|-15          |
|235|2025-01-16 19:34:45|陈记面馆虾爆鳝（万红西街店）            |陈记面馆虾爆鳝（万红西街店）                            |支出  |38    |美团月付         |25011611100301670000643526414753|                                           |美团月付          |美团    |2025-03-19 11:56:34|-38          |
|159|2025-01-16 22:43:52|北京一卡通                     |北京一卡通充值                                   |支出  |4     |交易成功         |2025011623001453511422161661    |D120250116224352874953                     |              |支付宝   |2025-03-19 11:56:34|-4           |
|158|2025-01-17 00:17:56|Steam                     |Steam Purchase                            |支出  |198   |交易成功         |2025011722001453511423821164    |2025011619074101000060037371859            |              |支付宝   |2025-03-19 11:56:34|-198         |
|157|2025-01-17 02:07:12|招商财富宝A                    |余额宝-2025.01.16-收益发放                       |收入  |2.58  |交易成功         |20250117328984631511            |                                           |              |支付宝   |2025-03-19 11:56:34|2.58         |
|156|2025-01-17 11:51:26|北京一卡通                     |北京一卡通充值                                   |支出  |4     |交易成功         |2025011723001453511426277101    |D120250117115125012128                     |              |支付宝   |2025-03-19 11:56:34|-4           |
|155|2025-01-17 12:25:49|昆仑人的私家小厨（骏豪·中央公园广场店）      |Meituan-昆仑人的私家小厨（骏豪·中央公园广场店）              |支出  |15    |交易成功         |2025011722001453511426591091    |7120180330024764010461368605570020832608004|              |支付宝   |2025-03-19 11:56:34|-15          |
|234|2025-01-17 19:10:43|Wagas沃歌斯                  |Wagas沃歌斯(毕淘买生活广场店)                        |支出  |74    |美团月付         |25011711100301670000778401440753|                                           |美团月付          |美团    |2025-03-19 11:56:34|-74          |
|154|2025-01-17 22:09:08|北京一卡通                     |北京一卡通充值                                   |支出  |4     |交易成功         |2025011723001453511425281043    |D120250117220908192662                     |              |支付宝   |2025-03-19 11:56:34|-4           |
|153|2025-01-18 01:04:19|App Store & Apple Music   |App Store & Apple Music；01.18购买           |支出  |1,298 |交易成功         |2025011822001453511426863100    |MT8XQ3MNGFa0                               |              |支付宝   |2025-03-19 11:56:34|-1,298       |
|152|2025-01-18 02:06:51|招商财富宝A                    |余额宝-2025.01.17-收益发放                       |收入  |2.86  |交易成功         |20250118331103306511            |                                           |              |支付宝   |2025-03-19 11:56:34|2.86         |
|151|2025-01-18 09:30:57|铁路12306                   |火车票                                       |支出  |426.5 |交易成功         |2025011822001453511430425543    |M2025011828277078                          |              |支付宝   |2025-03-19 11:56:34|-426.5       |
|233|2025-01-18 12:50:47|肆喜桂林米粉·螺蛳粉（798艺术中心店）      |肆喜桂林米粉·螺蛳粉（798艺术中心店）                      |支出  |28.7  |微信支付         |25011811100301670000862446951753|                                           |微信支付          |美团    |2025-03-19 11:56:34|-28.7        |
|232|2025-01-18 12:50:57|匠熙小馆（望京店）                 |匠熙小馆（望京店）                                 |支出  |23    |美团月付         |25011811100301670000862290187753|                                           |美团月付          |美团    |2025-03-19 11:56:34|-23          |
|150|2025-01-18 18:15:38|App Store & Apple Music   |App Store & Apple Music；01.18购买           |支出  |18    |交易成功         |2025011822001453511429945922    |MT8XQ5987Ya0                               |              |支付宝   |2025-03-19 11:56:34|-18          |
|231|2025-01-18 18:55:10|美团商家代金券-289532942933870815|美团商家代金券-289532942933870815                |支出  |17.2  |微信支付         |25011811100301670000922787420753|                                           |微信支付          |美团    |2025-03-19 11:56:34|-17.2        |
|230|2025-01-18 18:57:31|喜茶（望京麒麟社茶空间店）             |喜茶（望京麒麟社茶空间店）                             |支出  |22.3  |美团月付         |25011811100301670000924840296753|                                           |美团月付          |美团    |2025-03-19 11:56:34|-22.3        |
|149|2025-01-19 02:51:23|招商财富宝A                    |余额宝-2025.01.18-收益发放                       |收入  |2.86  |交易成功         |20250119337835875511            |                                           |              |支付宝   |2025-03-19 11:56:34|2.86         |
|148|2025-01-19 18:33:36|App Store & Apple Music   |App Store & Apple Music；01.19购买           |支出  |916   |交易成功         |2025011922001453511432212727    |MT8XQ84NKBa0                               |              |支付宝   |2025-03-19 11:56:34|-916         |
|147|2025-01-19 18:40:10|App Store & Apple Music   |App Store & Apple Music；01.19购买           |支出  |128   |交易成功         |2025011922001453511434285634    |MT8XQ8512Wa0                               |              |支付宝   |2025-03-19 11:56:34|-128         |
|146|2025-01-20 02:00:49|招商财富宝A                    |余额宝-2025.01.19-收益发放                       |收入  |2.86  |交易成功         |20250120342224526511            |                                           |              |支付宝   |2025-03-19 11:56:34|2.86         |
|229|2025-01-20 11:33:39|【美团月付】主动还款2025年1月账单       |【美团月付】主动还款2025年1月账单                       |支出  |787.13|招商银行储蓄卡(2073)|25012011100301670001135635471753|                                           |招商银行储蓄卡(2073) |美团    |2025-03-19 11:56:34|-787.13      |
|145|2025-01-20 11:52:57|北京一卡通                     |北京一卡通充值                                   |支出  |4     |交易成功         |2025012023001453511438395644    |D120250120115257743801                     |              |支付宝   |2025-03-19 11:56:34|-4           |
|144|2025-01-20 12:32:44|昆仑人的私家小厨（骏豪·中央公园广场店）      |Meituan-昆仑人的私家小厨（骏豪·中央公园广场店）              |支出  |15    |交易成功         |2025012022001453511437509947    |8420180330024764010461368605576529220008004|              |支付宝   |2025-03-19 11:56:34|-15          |
|143|2025-01-20 16:09:45|铁路12306                   |火车票                                       |支出  |3,220 |交易成功         |2025012022001453511438281292    |M2025012049607662                          |              |支付宝   |2025-03-19 11:56:34|-3,220       |
|142|2025-01-20 21:56:01|北京一卡通                     |北京一卡通充值                                   |支出  |3.2   |交易成功         |2025012023001453511438494775    |D120250120215601909271                     |              |支付宝   |2025-03-19 11:56:34|-3.2         |
|141|2025-01-21 02:15:20|招商财富宝A                    |余额宝-2025.01.20-收益发放                       |收入  |3.39  |交易成功         |20250121346971492511            |                                           |              |支付宝   |2025-03-19 11:56:34|3.39         |
|140|2025-01-21 11:52:28|北京一卡通                     |北京一卡通充值                                   |支出  |3.2   |交易成功         |2025012123001453511441877056    |D120250121115228047682                     |              |支付宝   |2025-03-19 11:56:34|-3.2         |
|139|2025-01-21 12:19:26|昆仑人的私家小厨（骏豪·中央公园广场店）      |Meituan-昆仑人的私家小厨（骏豪·中央公园广场店）              |支出  |15    |交易成功         |2025012122001453511440868815    |0520180330024764010461368605578434873608004|              |支付宝   |2025-03-19 11:56:34|-15          |
|138|2025-01-21 20:24:41|住呗公寓                      |收钱码收款                                     |支出  |8,400 |交易成功         |2025012122001453511442977433    |47374622806722358353510                    |              |支付宝   |2025-03-19 11:56:34|-8,400       |
|137|2025-01-21 21:51:34|北京一卡通                     |北京一卡通充值                                   |支出  |3.2   |交易成功         |2025012123001453511442982428    |D120250121215134204108                     |              |支付宝   |2025-03-19 11:56:34|-3.2         |
|136|2025-01-22 02:10:35|招商财富宝A                    |余额宝-2025.01.21-收益发放                       |收入  |3.3   |交易成功         |20250122353156105511            |                                           |              |支付宝   |2025-03-19 11:56:34|3.3          |
|135|2025-01-22 11:38:39|北京一卡通                     |北京一卡通充值                                   |支出  |3.2   |交易成功         |2025012223001453511445187871    |D120250122113839338355                     |              |支付宝   |2025-03-19 11:56:34|-3.2         |
|134|2025-01-22 22:12:33|北京一卡通                     |北京一卡通充值                                   |支出  |3.2   |交易成功         |2025012223001453511446737510    |D120250122221233490824                     |              |支付宝   |2025-03-19 11:56:34|-3.2         |
|133|2025-01-23 02:09:54|招商财富宝A                    |余额宝-2025.01.22-收益发放                       |收入  |3.21  |交易成功         |20250123358577760511            |                                           |              |支付宝   |2025-03-19 11:56:34|3.21         |
|132|2025-01-23 03:55:39|App Store & Apple Music   |App Store & Apple Music；01.22至01.23期间购买   |支出  |1     |交易成功         |2025012322001453511445323114    |MT8XQKZ6M1a0                               |              |支付宝   |2025-03-19 11:56:34|-1           |
|131|2025-01-23 09:56:26|北京一卡通                     |北京一卡通充值                                   |支出  |3.2   |交易成功         |2025012323001453511449197409    |D120250123095626596897                     |              |支付宝   |2025-03-19 11:56:34|-3.2         |
|130|2025-01-23 12:34:51|昆仑人的私家小厨（骏豪·中央公园广场店）      |Meituan-昆仑人的私家小厨（骏豪·中央公园广场店）              |支出  |15    |交易成功         |2025012322001453511449923793    |4920180330024764010461368605582528378308004|              |支付宝   |2025-03-19 11:56:34|-15          |
|129|2025-01-23 19:59:28|饿了么                       |匠熙小馆(望京店)外卖订单                             |支出  |24    |交易成功         |2025012322001153511450415669    |13190600725012358937434610187              |              |支付宝   |2025-03-19 11:56:34|-24          |
|128|2025-01-23 22:45:58|北京一卡通                     |北京一卡通充值                                   |支出  |3.2   |交易成功         |2025012323001453511449028207    |D120250123224558774162                     |              |支付宝   |2025-03-19 11:56:34|-3.2         |
|127|2025-01-24 02:05:22|招商财富宝A                    |余额宝-2025.01.23-收益发放                       |收入  |2.53  |交易成功         |20250124367554222511            |                                           |              |支付宝   |2025-03-19 11:56:34|2.53         |
|126|2025-01-24 11:30:34|饿了么                       |匠熙小馆(望京店)外卖订单                             |支出  |24    |交易成功         |2025012422001153511451806859    |13110600725012430072062610187              |              |支付宝   |2025-03-19 11:56:34|-24          |
|228|2025-01-24 11:35:56|周黑鸭                       |周黑鸭(北京市朝阳区望京新世界店)                         |支出  |65.34 |美团月付         |25012411100301670001683585323753|                                           |美团月付          |美团    |2025-03-19 11:56:34|-65.34       |
|125|2025-01-24 14:53:41|北京盒马                      |Nestle/雀巢 脆脆鲨 涂层威化饼干 巧克力味 18.6g*40等3类商品   |支出  |142.9 |交易成功         |2025012423001453511451212337    |P18M6666031250124930143872873              |              |支付宝   |2025-03-19 11:56:34|-142.9       |
|124|2025-01-24 22:30:05|北京一卡通                     |北京一卡通充值                                   |支出  |4.8   |交易成功         |2025012423001453511452288342    |D120250124223005028993                     |              |支付宝   |2025-03-19 11:56:34|-4.8         |
